CELL_Line,Tissue_name
ACH-000404,skin
ACH-000405,blood
ACH-000406,blood
ACH-000407,uterus
ACH-000408,esophagus
ACH-000409,ovary
ACH-000410,bone
ACH-000411,kidney
ACH-000412,colorectal
ACH-000413,fibroblast
ACH-000414,lung
ACH-000415,upper_aerodigestive
ACH-000416,lung
ACH-000417,pancreas
ACH-000418,bone
ACH-000419,plasma_cell
ACH-000420,liver
ACH-000421,colorectal
ACH-000422,liver
ACH-000423,skin
ACH-000424,bone
ACH-000425,skin
ACH-000426,plasma_cell
ACH-000427,gastric
ACH-000428,kidney
ACH-000429,kidney
ACH-000430,ovary
ACH-000431,lung
ACH-000432,blood
ACH-000433,kidney
ACH-000434,lung
ACH-000435,uterus
ACH-000436,plasma_cell
ACH-000437,central_nervous_system
ACH-000438,lung
ACH-000439,blood
ACH-000440,lymphocyte
ACH-000441,skin
ACH-000442,lung
ACH-000443,ovary
ACH-000444,lung
ACH-000445,central_nervous_system
ACH-000446,peripheral_nervous_system
ACH-000447,lung
ACH-000448,lung
ACH-000449,soft_tissue
ACH-000450,skin
ACH-000451,lung
ACH-000452,esophagus
ACH-000453,plasma_cell
ACH-000454,lung
ACH-000455,central_nervous_system
ACH-000456,thyroid
ACH-000457,kidney
ACH-000458,skin
ACH-000459,kidney
ACH-000460,ovary
ACH-000461,bile_duct
ACH-000462,blood
ACH-000463,lung
ACH-000464,central_nervous_system
ACH-000465,skin
ACH-000466,gastric
ACH-000467,colorectal
ACH-000468,pancreas
ACH-000469,central_nervous_system
ACH-000470,colorectal
ACH-000471,liver
ACH-000472,upper_aerodigestive
ACH-000473,urinary_tract
ACH-000475,liver
ACH-000476,liver
ACH-000477,skin
ACH-000478,liver
ACH-000479,central_nervous_system
ACH-000480,liver
ACH-000481,lung
ACH-000482,lung
ACH-000483,liver
ACH-000484,kidney
ACH-000485,gastric
ACH-000486,urinary_tract
ACH-000487,blood
ACH-000488,esophagus
ACH-000489,colorectal
ACH-000490,central_nervous_system
ACH-000491,colorectal
ACH-000492,blood
ACH-000493,liver
ACH-000494,ovary
ACH-000495,kidney
ACH-000496,lung
ACH-000498,blood
ACH-000499,bone
ACH-000500,upper_aerodigestive
ACH-000501,colorectal
ACH-000502,pancreas
ACH-000503,upper_aerodigestive
ACH-000504,central_nervous_system
ACH-000505,soft_tissue
ACH-000506,lung
ACH-000507,gastric
ACH-000508,lung
ACH-000509,lymphocyte
ACH-000510,lung
ACH-000511,lung
ACH-000512,plasma_cell
ACH-000513,kidney
ACH-000514,lung
ACH-000515,lung
ACH-000516,bone
ACH-000517,pancreas
ACH-000518,upper_aerodigestive
ACH-000519,blood
ACH-000520,ovary
ACH-000521,lung
ACH-000522,urinary_tract
ACH-000523,lung
ACH-000524,ovary
ACH-000525,lung
ACH-000526,fibroblast
ACH-000527,ovary
ACH-000528,lung
ACH-000529,fibroblast
ACH-000530,lung
ACH-000531,fibroblast
ACH-000532,colorectal
ACH-000533,soft_tissue
ACH-000534,lymphocyte
ACH-000535,pancreas
ACH-000536,breast
ACH-000537,liver
ACH-000538,gastric
ACH-000539,fibroblast
ACH-000540,fibroblast
ACH-000541,plasma_cell
ACH-000542,ovary
ACH-000543,central_nervous_system
ACH-000544,esophagus
ACH-000545,urinary_tract
ACH-000546,upper_aerodigestive
ACH-000547,urinary_tract
ACH-000548,upper_aerodigestive
ACH-000549,upper_aerodigestive
ACH-000550,skin
ACH-000551,blood
ACH-000552,colorectal
ACH-000553,lung
ACH-000554,breast
ACH-000555,kidney
ACH-000556,cervix
ACH-000557,blood
